O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NIZANUR RAHMAN,All India United Democratic Front,111963,231,112194,61.07
2,BANENDRA KUMAR MUSHAHARY,Bharatiya Janata Party,63081,268,63349,34.48
3,JABBAR ALI,Janata Dal (United),578,2,580,0.32
4,MIR HUSSAIN SARKAR,Republican Party of India (A),786,4,790,0.43
5,AKUL BARMAN,Independent,402,4,406,0.22
6,ABDUR REZZAK HOSSAIN,Independent,1754,4,1758,0.96
7,KHAGENDRA NATH RAY,Independent,866,6,872,0.47
8,NIRANJAN PRODHANI,Independent,615,0,615,0.33
9,MD. MOHIBUL HAQUE,Independent,1401,4,1405,0.76
10,NOTA,None of the Above,1748,10,1758,0.96
