O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KULDIP BARUA,Indian National Congress,67316,289,67605,45.52
2,PARAMANANDA RAJBONGSHI,Bharatiya Janata Party,74203,536,74739,50.33
3,GITIKA KAKATI,Assam Jatiya Parishad,2172,29,2201,1.48
4,PAHESWARI BARUA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),213,6,219,0.15
5,HARESWAR DEKA,Voters Party International,420,3,423,0.28
6,AMIYA KUMAR DEKA,Independent,499,8,507,0.34
7,AROON BAROOA,Independent,244,4,248,0.17
8,ASIFUN NESSA,Independent,357,3,360,0.24
9,SAHNUR ALI,Independent,877,0,877,0.59
10,NOTA,None of the Above,1323,3,1326,0.89
