O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Rajib Ahmed,All India United Democratic Front,65338,77,65415,43.24
2,Sherman Ali Ahmed,Indian National Congress,79245,112,79357,52.46
3,Hasinara Khatun,Bharatiya Janata Party,3018,20,3038,2.01
4,Abdul Aziz,Voters Party International,612,1,613,0.41
5,Salim Khan,Bhartiya Rashtrawadi Party,170,0,170,0.11
6,Jahidul Islam,Janata Dal (United),158,0,158,0.1
7,Moshwaraf Hussein,The National Road Map Party of India,408,1,409,0.27
8,Rejaul Karim,Republican Party of India (Athawale),617,0,617,0.41
9,Lil Chan Uddin,Republican Party of India (A),272,0,272,0.18
10,Afil Uddin Talukdar,Independent,486,1,487,0.32
11,NOTA,None of the Above,737,3,740,0.49
