O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Sadik Ullah Bhuyan,Asom Gana Parishad,18259,83,18342,9.8
2,Siraj Uddin Ajmal,All India United Democratic Front,136148,754,136902,73.14
3,Rezwan Ahmed,All India Trinamool Congress,1386,24,1410,0.75
4,Jahirul Islam Laskar,Janata Dal (United),234,4,238,0.13
5,Bodrul Hoque,Assam Jatiya Parishad,3275,17,3292,1.76
6,Abdul Kadir,Independent,213,4,217,0.12
7,Abdul Malik Borbhuyan,Independent,287,2,289,0.15
8,Gauri Kuwar,Independent,369,4,373,0.2
9,Siraj Uddin,Independent,381,2,383,0.2
10,Diluwara Begum Chowdhury,Independent,17911,117,18028,9.63
11,Nashir Uddin Laskar,Independent,595,1,596,0.32
12,Noor Ahmed,Independent,508,2,510,0.27
13,Badar Uddin,Independent,3361,9,3370,1.8
14,Hari Mohan Das,Independent,1652,5,1657,0.89
15,NOTA,None of the Above,1567,8,1575,0.84
