O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASADUL ISLAM,Bharatiya Janata Party,8899,20,8919,5.12
2,WAZED ALI CHOUDHURY,Indian National Congress,146031,217,146248,83.98
3,JENAT MOLLAH,Nationalist Congress Party,1470,0,1470,0.84
4,ABDUS SOBUR MIAH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1268,7,1275,0.73
5,TALEB ALI,Janata Dal (United),222,0,222,0.13
6,NURAL ISLAM,Rashtriya Ulama Council,1115,1,1116,0.64
7,NOZRUL ISLAM,Independent,1472,5,1477,0.85
8,NURUL ISLAM MOLLAH,Independent,10665,9,10674,6.13
9,FOZLUL HOQUE CHOUDHURY,Independent,1806,1,1807,1.04
10,NOTA,None of the Above,937,0,937,0.54
