O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ATUL BORA,Bharatiya Janata Party,195218,825,196043,64.0
2,MANJIT MAHANTA,Indian National Congress,74127,259,74386,24.28
3,HRIDAYANANDA GOGOI,Nationalist Congress Party,1174,10,1184,0.39
4,PALLABI RABHA,Janata Dal (United),833,14,847,0.28
5,PRINCE FAIZUL HAQUE,Assam Jatiya Parishad,15582,54,15636,5.1
6,SUKANTA MAZUMDAR,Bharatiya Gana Parishad,536,4,540,0.18
7,SONAMONI DAS,Lok Jan Shakti Party,735,0,735,0.24
8,CHARAN CHANDRA DEKA,Independent,2131,24,2155,0.7
9,NITUL DAS,Independent,592,11,603,0.2
10,PALLABI DOLEY,Independent,775,13,788,0.26
11,BISWAJIT NATH,Independent,1236,3,1239,0.4
12,SHAILEN KALITA,Independent,5143,5,5148,1.68
13,HEMENDRA NATH DEKA,Independent,1226,6,1232,0.4
14,NOTA,None of the Above,5756,26,5782,1.89
