O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NAJIR HUSSAIN,Bharatiya Janata Party,25600,139,25739,14.22
2,NURUL HUDA,Indian National Congress,131652,439,132091,73.0
3,SHAFIQUL ISLAM,Assam Jatiya Parishad,9966,40,10006,5.53
4,SAMSUL ALAM,Janata Dal (United),473,5,478,0.26
5,JINNATUL ISLAM,Rashtriya Ulama Council,439,4,443,0.24
6,ABU SHAMA,Independent,1109,8,1117,0.62
7,WAKIBUR ISLAM,Independent,404,4,408,0.23
8,NAZRUL ISLAM,Independent,1528,7,1535,0.85
9,NURUL AMIN CHOWDHURY,Independent,8115,23,8138,4.5
10,NOTA,None of the Above,988,9,997,0.55
