O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RANGJA KHUNGUR BASUMATARY,Bodoland Peoples Front,46492,143,46635,27.66
2,KANAK BASUMATARY,Voters Party International,1693,22,1715,1.02
3,NIRMALA DAS,Bharatiya Gana Parishad,7623,72,7695,4.56
4,LEHO RAM BORO,"United People’s Party, Liberal",78484,334,78818,46.75
5,KESHAB CHANDRA RAJBONGSHI,Independent,14344,35,14379,8.53
6,DIMBESWAR RABHA,Independent,1553,21,1574,0.93
7,NAGEN CHANDRA DAS,Independent,3696,17,3713,2.2
8,NILAMANI RAJBONGSHI,Independent,1357,4,1361,0.81
9,YASWANTA CHAUHAN,Independent,6536,13,6549,3.88
10,RAMCHARAN DEKA,Independent,2091,12,2103,1.25
11,SATYA NATH KALITA,Independent,1468,7,1475,0.87
12,NOTA,None of the Above,2552,10,2562,1.52
