O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MIRA BORTHAKUR GOSWAMI,Indian National Congress,58990,94,59084,25.72
2,RAMENDRA NARAYAN KALITA,Asom Gana Parishad,137286,247,137533,59.87
3,AVIJIT CHAKRABORTY,Bharatiya Gana Parishad,2308,14,2322,1.01
4,KALYAN KUMAR SHARMA,Republican Party of India (Athawale),1175,3,1178,0.51
5,KISHOR KUMAR DAS,Lok Jan Shakti Party,836,5,841,0.37
6,DEBAKESH MALLA BUZAR BARUAH,Janata Dal (United),793,1,794,0.35
7,PANKAJ DAS,Swarna Bharat Party,579,3,582,0.25
8,RUNA LAILA,Assam Jatiya Parishad,5767,3,5770,2.51
9,AMITABH SARMA,Independent,867,3,870,0.38
10,KAZI NEKIB AHMED,Independent,1402,5,1407,0.61
11,DHANANJAY KALITA,Independent,5794,6,5800,2.52
12,NESARUDDIN AHMED,Independent,701,0,701,0.31
13,BALESWAR RANGPI,Independent,5869,5,5874,2.56
14,RAKTIMAVA SWAMI,Independent,1314,1,1315,0.57
15,SWAPNALI DAS,Independent,1711,7,1718,0.75
16,NOTA,None of the Above,3917,8,3925,1.71
