O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Abdul Jalil Talukdar,All India Trinamool Congress,1204,8,1212,0.66
2,Rafiqul Islam,All India United Democratic Front,155917,266,156183,84.6
3,Shahidul Islam,Bharatiya Janata Party,11353,55,11408,6.18
4,Zinnat Ali,The National Road Map Party of India,486,2,488,0.26
5,Mazidul Islam,National Republican Congress,304,4,308,0.17
6,Shukur Ali,Assam Jatiya Parishad,778,6,784,0.42
7,Sheikh Jamsedur Rahman,Janata Dal (United),165,0,165,0.09
8,Arshad Ahmed,Independent,683,5,688,0.37
9,Ashraful Islam,Independent,8317,17,8334,4.51
10,Inumani Begum,Independent,573,0,573,0.31
11,Faruk Khan,Independent,1835,3,1838,1.0
12,Raizuddin,Independent,1742,2,1744,0.94
13,NOTA,None of the Above,884,6,890,0.48
