O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KALPANA PATOWARY,Asom Gana Parishad,47272,232,47504,26.56
2,SAYED JEHERUL ISLAM,All India Trinamool Congress,1082,15,1097,0.61
3,JAKIR HUSSAIN SIKDAR,Indian National Congress,76669,376,77045,43.07
4,MINAKSHI RAHMAN,All India United Democratic Front,44577,228,44805,25.05
5,AJIDUL ISLAM,Republican Party of India (A),544,4,548,0.31
6,NAJRUL ISLAM,Janata Party,447,5,452,0.25
7,NABAB MEZBAHUL ALAM,Janata Dal (United),194,0,194,0.11
8,MANIK CHANDRA BARO,Assam Jatiya Parishad,3062,31,3093,1.73
9,SHAHJAHAN ALI,The National Road Map Party of India,711,0,711,0.4
10,HALIMA KHATUN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),462,1,463,0.26
11,BINAD ALI,Independent,922,1,923,0.52
12,MATIAR RAHMAN,Independent,778,2,780,0.44
13,NOTA,None of the Above,1260,5,1265,0.71
