O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Aftab Uddin Laskar,Asom Gana Parishad,7458,91,7549,5.59
2,Nijam Uddin Choudhury,All India United Democratic Front,66134,651,66785,49.46
3,Moon Swarnakar,Bharatiya Janata Party,48894,287,49181,36.42
4,Simu Das,All India Forward Bloc,549,3,552,0.41
5,Alim Uddin Laskar,Independent,135,1,136,0.1
6,Imadul Islam Laskar,Independent,93,2,95,0.07
7,Kaji Abdul Hakim,Independent,279,1,280,0.21
8,Gulzar Ahmed Barbhuiya,Independent,339,0,339,0.25
9,Jahanara Begum Mazumder,Independent,314,0,314,0.23
10,Daisy Roy,Independent,1588,13,1601,1.19
11,Badrul Islam Barbhuiya,Independent,1379,24,1403,1.04
12,Babul Kumar,Independent,2339,4,2343,1.74
13,Bulbul Alam Choudhury,Independent,534,0,534,0.4
14,Brojendra Chandra Das,Independent,466,0,466,0.35
15,Manoj Kumar Malakar,Independent,793,1,794,0.59
16,Raju Das,Independent,759,1,760,0.56
17,Raju Deb,Independent,224,0,224,0.17
18,Samin Ahmed Choudhury,Independent,634,0,634,0.47
19,Saleh Ahmed Mazumder,Independent,593,1,594,0.44
20,NOTA,None of the Above,433,9,442,0.33
