O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,CHARAN BORO,Bodoland Peoples Front,53903,506,54409,42.32
2,JITU KISSAN,Bharatiya Janata Party,38006,346,38352,29.83
3,RATENDRA DAIMARY,"United People’s Party, Liberal",28179,234,28413,22.1
4,SUNIL SARKAR,Voters Party International,816,11,827,0.64
5,KHURSHID ALAM MAZUMDAR,Independent,326,7,333,0.26
6,GOLAM MOSTAFA,Independent,565,0,565,0.44
7,SAIFUL ISLAM,Independent,1957,14,1971,1.53
8,JIARUL HOQUE SARKER,Independent,650,4,654,0.51
9,SANTOSH KURMI,Independent,1240,7,1247,0.97
10,NOTA,None of the Above,1776,9,1785,1.39
