O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TAMAL KANTI BANIK,Indian National Congress,60525,455,60980,34.75
2,DIPAYAN CHAKRABORTY,Bharatiya Janata Party,97433,1125,98558,56.17
3,DULALI CHAKRABORTY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),741,14,755,0.43
4,PRASANTA LASKAR,Republican Party of India (A),178,3,181,0.1
5,BISHWAY CHAMAK GOSWAMI,Bharatiya Gana Parishad,150,5,155,0.09
6,RAJU SINHA,Hindusthan Nirman Dal,483,9,492,0.28
7,ANUP DUTTA,Independent,194,3,197,0.11
8,ANUPAM DEV,Independent,154,2,156,0.09
9,DILIP KUMAR PAUL,Independent,11099,155,11254,6.41
10,BAKTAR UDDIN MAZUMDER,Independent,218,4,222,0.13
11,BAPPI PAUL,Independent,92,1,93,0.05
12,BIJU CHANDA,Independent,97,1,98,0.06
13,RUSNA BEGUM LASKAR,Independent,146,3,149,0.08
14,SHANKAR CHAKRABORTY,Independent,254,0,254,0.14
15,SHUVADIP DATTA,Independent,523,0,523,0.3
16,NOTA,None of the Above,1375,23,1398,0.8
