O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABDUL AZIZ,All India United Democratic Front,73908,544,74452,56.62
2,BISWARUP BHATTACHARJEE,Bharatiya Janata Party,49969,535,50504,38.41
3,NIZAM UDDIN,Rashtriya Ulama Council,356,3,359,0.27
4,SAHAB UDDIN,Assam Jatiya Parishad,2111,12,2123,1.61
5,OLIOUR RAHAMAN TAPADAR,Independent,72,0,72,0.05
6,ABDUL MALIK,Independent,455,1,456,0.35
7,ABDUL HASIB,Independent,157,2,159,0.12
8,ABDUS SUKKUR BEIG,Independent,77,1,78,0.06
9,ENAM UDDIN,Independent,98,5,103,0.08
10,KABIL MIYA,Independent,290,2,292,0.22
11,NAJIM UDDIN,Independent,216,2,218,0.17
12,BAHAR ASHIK,Independent,175,0,175,0.13
13,RASID AHMED,Independent,229,0,229,0.17
14,RIYAJ UDDIN,Independent,566,0,566,0.43
15,NOTA,None of the Above,1692,14,1706,1.3
