O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MANORANJAN TALUKDAR,Communist Party of India (Marxist),95638,496,96134,50.21
2,SANKAR CHANDRA DAS,Bharatiya Janata Party,85248,624,85872,44.85
3,DEVANANDA DAS,Janata Dal (United),617,27,644,0.34
4,PRAKASH BRAHMA,Republican Party of India (Athawale),593,24,617,0.32
5,MATIAR RAHMAN,The National Road Map Party of India,396,4,400,0.21
6,SANTANU MUKHERJEE,Political Justice Party,850,2,852,0.45
7,ABDUL HANNAN,Independent,790,5,795,0.42
8,IKBAL HUSSAIN,Independent,869,4,873,0.46
9,DWIPEN BARMAN,Independent,2416,16,2432,1.27
10,FAIZAN NESSA,Independent,935,10,945,0.49
11,NOTA,None of the Above,1880,16,1896,0.99
