O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABUL KALAM RASHEED ALAM,Indian National Congress,112744,251,112995,57.81
2,KOFIL UDDIN AHMED,Nationalist Congress Party,1055,4,1059,0.54
3,JYOTISH DAS,Asom Gana Parishad,67422,325,67747,34.66
4,RINKU MAZUMDAR,National People's Party,1547,4,1551,0.79
5,SHEIKH MD. JIAUL HOQUE,All India Trinamool Congress,662,3,665,0.34
6,IMDAD HUSSAIN,Assam Jatiya Parishad,1235,14,1249,0.64
7,CHITRALEKHA DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),322,5,327,0.17
8,FARUK AHMED,All India Minorities Front,862,1,863,0.44
9,MAZIBAR RAHMAN,Republican Party of India (A),513,0,513,0.26
10,AMINUL HOQUE,Independent,3434,3,3437,1.76
11,DHARMA NARAYAN NATH,Independent,1330,11,1341,0.69
12,MEHBUBAR RAHMAN,Independent,665,0,665,0.34
13,RANJAN SARKAR,Independent,1354,2,1356,0.69
14,NOTA,None of the Above,1697,9,1706,0.87
