O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ZAKIR HUSSAIN LASKAR,All India United Democratic Front,70541,516,71057,55.15
2,MILON DAS,Bharatiya Janata Party,46720,583,47303,36.72
3,SAFIQUE KAMAL BARLASKAR,All India Trinamool Congress,384,5,389,0.3
4,MONUJ MOHAN DEB,Bharatiya Gana Parishad,217,9,226,0.18
5,SUSHIL PAUL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),126,5,131,0.1
6,ABUL HUSSAIN BARBHUIYA,Independent,84,0,84,0.07
7,WAHIDUL ISLAM CHOUDHURY,Independent,84,0,84,0.07
8,KSHITISH RANJAN PAUL,Independent,484,5,489,0.38
9,GULA AHMED MAZUMDER,Independent,138,0,138,0.11
10,BINOY KUMAR ROY,Independent,119,7,126,0.1
11,MUJIB AHMED CHOUDHURY,Independent,617,3,620,0.48
12,SAIDUR RAHMAN BARBHUIYA,Independent,542,1,543,0.42
13,HILAL UDDIN LASKAR,Independent,6517,66,6583,5.11
14,NOTA,None of the Above,1058,5,1063,0.83
