O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DURGA DAS BORO,Bodoland Peoples Front,60604,211,60815,41.05
2,MADHU RAM DEKA,Bharatiya Janata Party,53382,331,53713,36.26
3,KAMAL AZAD,"United People’s Party, Liberal",16814,57,16871,11.39
4,JITENDRA CHALIHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),425,2,427,0.29
5,BHAGABAN DEKA,Voters Party International,1239,6,1245,0.84
6,JADAV SAIKIA,Assam Jatiya Parishad,2875,33,2908,1.96
7,RADHE SHYAM CHAUHAN,Janata Dal (United),483,5,488,0.33
8,SUDHENDU MOHAN TALUKDAR,Bharatiya Gana Parishad,683,3,686,0.46
9,KAMAL CHOUDHURY,Independent,2078,3,2081,1.4
10,KANU RAM SAIKIA,Independent,835,2,837,0.57
11,GWMBWR MOCHAHARY,Independent,825,12,837,0.57
12,DULAL KUMAR BARUAH,Independent,2381,4,2385,1.61
13,PANKAJ ASOMIYA,Independent,2533,16,2549,1.72
14,RAKESH BARO,Independent,968,4,972,0.66
15,NOTA,None of the Above,1316,8,1324,0.89
