O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRABHAT BAISNAB,National People's Party,1595,51,1646,1.07
2,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,82036,764,82800,53.9
3,SHANKAR PRASAD RAY,Indian National Congress,44386,247,44633,29.05
4,DIPU CHOUDHURY,Assam Jatiya Parishad,13872,116,13988,9.1
5,SANTANU MUKHERJEE,Political Justice Party,2254,12,2266,1.47
6,SABENDRA BASUMATARY,Voters Party International,927,25,952,0.62
7,SRI SUJIT KUMAR ROY,Bharatiya Gana Parishad,2163,21,2184,1.42
8,KAILASH DAS,Independent,1807,3,1810,1.18
9,GAUTAM DUTTA,Independent,1167,5,1172,0.76
10,NOTA,None of the Above,2149,30,2179,1.42
