O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RABIN CHANDRA KACHARI,Nationalist Congress Party,1313,7,1320,1.01
2,SANJOY KISHAN,Bharatiya Janata Party,85320,537,85857,65.58
3,ALOK ROY,Janata Dal (United),1175,13,1188,0.91
4,SHAMSHER SINGH,Assam Jatiya Parishad,14915,145,15060,11.5
5,CHINTU BARUAH,Lok Jan Shakti Party,757,11,768,0.59
6,PROBIN KUMAR HAZARIKA,Rashtriya Lok Samta Party,1066,15,1081,0.83
7,BUDHI NATH PRAJAPATI,Political Justice Party,2902,8,2910,2.22
8,SWAPAN PAUL,Bharatiya Gana Parishad,840,10,850,0.65
9,HIRA DEVI,Rashtriya Janata Dal,13283,38,13321,10.17
10,SUBHASISH BHATTACHARJEE (KAJU),Independent,5984,47,6031,4.61
11,NOTA,None of the Above,2513,26,2539,1.94
