O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHOK KUMAR SINGHI,Bharatiya Janata Party,66325,443,66768,34.11
2,SAMSUL HUDA,All India United Democratic Front,115714,354,116068,59.3
3,ABDUL MONNAF PRAMANIK,Janata Dal (United),907,1,908,0.46
4,KANULAL DAS,Assam Jatiya Parishad,3338,37,3375,1.72
5,PRODIP CHANDRA ROY,Republican Party of India,397,6,403,0.21
6,MOZNUR RAHMAN,Independent,474,4,478,0.24
7,MOYNUL HOQUE,Independent,369,2,371,0.19
8,ABDUL JABBAR,Independent,480,3,483,0.25
9,JITENDRA NATH ADHIKARY,Independent,631,3,634,0.32
10,MOMINUR ISLAM,Independent,2888,3,2891,1.48
11,MOSHLEM UDDIN CHOUDHURY,Independent,1657,0,1657,0.85
12,NOTA,None of the Above,1706,2,1708,0.87
