O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SANJEEV ROY,Indian National Congress,2884,47,2931,1.9
2,SUZAM UDDIN LASKAR,All India United Democratic Front,79415,354,79769,51.83
3,SUBRATA KUMAR NATH,Bharatiya Janata Party,66337,461,66798,43.41
4,RAM KUMAR NUNIA,Janata Dal (United),667,5,672,0.44
5,ACHAB UDDIN BARBHUIYA,Independent,189,1,190,0.12
6,AFTAB UDDIN BARBHUIYA,Independent,193,1,194,0.13
7,ABDUL BASIT LASKAR,Independent,111,0,111,0.07
8,AHMED HUSSAIN BARBHUIYA,Independent,181,1,182,0.12
9,JOHUR UDDIN TALUKDAR,Independent,154,1,155,0.1
10,BADAR UDDIN LASKAR,Independent,96,0,96,0.06
11,MOJMUL ISLAM LASKAR,Independent,207,0,207,0.13
12,RAJESH PAUL,Independent,264,5,269,0.17
13,LUTHFUR RAHMAN LASKAR,Independent,906,0,906,0.59
14,SAHAB UDDIN LASKAR,Independent,666,0,666,0.43
15,NOTA,None of the Above,742,3,745,0.48
