O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ATUL BORA,Asom Gana Parishad,72067,863,72930,60.56
2,MRIDUL SAIKIA,Nationalist Congress Party,961,22,983,0.82
3,REBA KANTA GOGOI,Assam Jatiya Parishad,2295,39,2334,1.94
4,SIMON TANTI,Independent,639,10,649,0.54
5,JITEN GOGOI,Independent,5453,97,5550,4.61
6,JIBON CHANDRA BORAH,Independent,3281,79,3360,2.79
7,DINESH KARMAKAR,Independent,912,16,928,0.77
8,DULAL BORA,Independent,1521,24,1545,1.28
9,PRANAB DOLEY,Independent,27405,344,27749,23.04
10,BIJOY KUTUM,Independent,969,15,984,0.82
11,HEMANTA DOLOI,Independent,927,6,933,0.77
12,NOTA,None of the Above,2465,17,2482,2.06
