O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASHIMA BARDOLOI,Indian National Congress,29246,115,29361,17.16
2,RAJ PRASAD SAIKIA,National People's Party,643,0,643,0.38
3,SIDDHARTHA BHATTACHARYA,Bharatiya Janata Party,113033,428,113461,66.33
4,ADIP KUMAR PHUKAN,Assam Jatiya Parishad,20949,100,21049,12.31
5,PRANAB JYOTI DAS,Republican Party of India (Athawale),251,1,252,0.15
6,BAPI AICH,Bharatiya Gana Parishad,228,0,228,0.13
7,BHUPEN SARMA,All India Forward Bloc,266,5,271,0.16
8,MITALI DEKA DEVI,Lok Jan Shakti Party,371,2,373,0.22
9,DIWAS PHUKAN,Independent,1149,6,1155,0.68
10,PRANAY DAS,Independent,846,4,850,0.5
11,NOTA,None of the Above,3403,14,3417,2.0
