O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMINUL HAQUE LASKAR,Bharatiya Janata Party,51695,588,52283,35.49
2,KARIM UDDIN BARBHUIYA,All India United Democratic Front,71463,474,71937,48.83
3,M. SANTI KUMAR SINGHA,All India Trinamool Congress,2728,68,2796,1.9
4,ANJAN KUMAR CHANDA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),242,2,244,0.17
5,ANWAR HUSSAIN LASKAR,Samajwadi Party,461,8,469,0.32
6,ABDUL MATLIB LASKAR,Independent,138,3,141,0.1
7,ASHISH HALDAR,Independent,14392,108,14500,9.84
8,ANAMUL HAQUE,Independent,729,6,735,0.5
9,KARIM UDDIN BARBHUIYA,Independent,222,14,236,0.16
10,DILIP KUMAR DAS,Independent,288,11,299,0.2
11,MD NAZRUL ISLAM LASKAR,Independent,240,1,241,0.16
12,BIJAN PAUL,Independent,675,4,679,0.46
13,SHUKUMAR SONAR,Independent,481,1,482,0.33
14,SAYAL AHMED BARBHUIYA,Independent,1060,1,1061,0.72
15,NOTA,None of the Above,1226,5,1231,0.84
