O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. ASIF MOHAMMAD NAZAR,Indian National Congress,60782,150,60932,37.3
2,KADIRUZZAMAN ZINNAH,Bharatiya Janata Party,34553,179,34732,21.26
3,TASLIMA NASRIN,Janata Dal (United),420,4,424,0.26
4,SHOMZIDA YEASMIN,Assam Jatiya Parishad,1368,3,1371,0.84
5,SIDDIQUE AHMED,Independent,58739,165,58904,36.06
6,MAHANANDA PATGIRI,Independent,3774,9,3783,2.32
7,MAZAHARUL ISLAM SIDDIQUEE,Independent,846,3,849,0.52
8,RABINDRA NATH BISWAS,Independent,509,3,512,0.31
9,RAJAUL KARIM,Independent,788,1,789,0.48
10,NOTA,None of the Above,1068,5,1073,0.66
