O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRISHNENDU PAUL,Bharatiya Janata Party,74067,779,74846,49.66
2,SACHIN SAHOO,Indian National Congress,69800,579,70379,46.7
3,SABBIR AHMED,Asom Gana Parishad,541,2,543,0.36
4,JAYANTA SINHA,Republican Party of India,180,8,188,0.12
5,NURUL ISLAM,All India Forward Bloc,83,1,84,0.06
6,BULU CHANDA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),98,3,101,0.07
7,MD. BAHAR UDDIN,Rashtriya Ulama Council,172,2,174,0.12
8,HUMAYUN KABIR,Assam Jatiya Parishad,262,1,263,0.17
9,IBRAHIM ALI,Independent,281,6,287,0.19
10,YEAFUS ALI,Independent,127,11,138,0.09
11,CHANDAN DAS,Independent,174,0,174,0.12
12,YASHOBANTA KUAMR DAS,Independent,169,2,171,0.11
13,SANJOY KUMAR MALAKAR,Independent,216,0,216,0.14
14,SAHIN UZ JAMAN,Independent,835,0,835,0.55
15,SHIHAB UDDIN AHMED,Independent,1018,2,1020,0.68
16,NOTA,None of the Above,1283,5,1288,0.85
