O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Sum Ronghang,Indian National Congress,36209,295,36504,23.97
2,Bidya Sing Engleng,Bharatiya Janata Party,76301,731,77032,50.58
3,Rajen Timung,National People's Party,1350,22,1372,0.9
4,Ranjit Kramsa,Communist Party of India (Marxist-Leninist) (Liberation),1448,19,1467,0.96
5,Hemsing Tisso,Autonomous State Demand Committee,7314,65,7379,4.85
6,Jones Ingti Kathar,Independent,23198,158,23356,15.34
7,Dilip Sing Bey,Independent,915,12,927,0.61
8,Bhogeswar Shyam,Independent,840,6,846,0.56
9,Rohili Tokbipi,Independent,1088,3,1091,0.72
10,NOTA,None of the Above,2305,15,2320,1.52
