O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABDUL GONI,All India Trinamool Congress,1612,5,1617,1.26
2,ASHRAFUL HUSSAIN,All India United Democratic Front,75108,204,75312,58.83
3,RABIUL HUSSAIN,Asom Gana Parishad,23263,110,23373,18.26
4,SUKUR ALI AHMED,Indian National Congress,22498,75,22573,17.63
5,GIAS UDDIN AHMED,Assam Jatiya Parishad,728,5,733,0.57
6,JASHIM KHAN,Voters Party International,469,0,469,0.37
7,SEKH NURUL ALAM,Republican Party of India (Athawale),352,0,352,0.27
8,RUPDHAN AHMED,Bahujan Maha Party,1288,2,1290,1.01
9,ABUL HASHEM,Independent,427,2,429,0.34
10,ABDUR RAHIM ALI,Independent,375,0,375,0.29
11,NURUL AMIN,Independent,787,1,788,0.62
12,NOTA,None of the Above,695,1,696,0.54
