O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RUPAK SARMAH,Bharatiya Janata Party,80712,386,81098,52.01
2,SANTANU SARMA,Indian National Congress,69841,174,70015,44.9
3,ANUP LASKAR,Assam Jatiya Parishad,1994,15,2009,1.29
4,ABDUL AWAL BHUYAN,Lok Jan Shakti Party,172,0,172,0.11
5,SAHJAHAN ALI AHMED,Rashtriya Ulama Council,322,0,322,0.21
6,ANWAR WAHID,Independent,238,0,238,0.15
7,ASHA BEGUM,Independent,352,0,352,0.23
8,IKBAL HUSSAIN,Independent,153,0,153,0.1
9,JIABUR RAHMAN,Independent,158,2,160,0.1
10,NRIPENDRA MANDAL,Independent,325,3,328,0.21
11,NOTA,None of the Above,1092,3,1095,0.7
