O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AJOY KUMAR RAY,Bharatiya Janata Party,44909,824,45733,32.69
2,KAMALSHING NARZARY,Bodoland Peoples Front,43995,735,44730,31.97
3,NANDADEB BRAHMA,Voters Party International,482,21,503,0.36
4,PHANIN BORO,"United People’s Party, Liberal",34899,683,35582,25.43
5,RUPAM KUMAR DAS,Assam Jatiya Parishad,9766,185,9951,7.11
6,ABDUL AWAL PARAMANIK,Independent,657,12,669,0.48
7,SOLEMAN MONDAL,Independent,548,23,571,0.41
8,BAHARUL ISLAM NAGORI,Independent,777,11,788,0.56
9,NOTA,None of the Above,1368,20,1388,0.99
