O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Tamilarasi A.,Dravida Munnetra Kazhagam,87827,1537,89364,44.01
2,Nagarajan S.,All India Anna Dravida Munnetra Kazhagam,74433,840,75273,37.07
3,Shanmugapriya M.,Naam Tamilar Katchi,22916,312,23228,11.44
4,Chandrasekar M.,Anaithu Makkal Puratchi Katchi,226,3,229,0.11
5,Sivasankari P.,Makkal Needhi Maiam,2219,38,2257,1.11
6,Mariappankennady S.,Amma Makkal Munnettra Kazagam,10074,157,10231,5.04
7,Muralitharan M.,Anna MGR Dravida Makkal Kalgam,128,0,128,0.06
8,Rajendran A.,My India Party,104,7,111,0.05
9,Karuppaiah S.,Independent,83,1,84,0.04
10,Thamaraiselvi S.,Independent,140,2,142,0.07
11,Duraipandi M.,Independent,125,0,125,0.06
12,Muthumari K.,Independent,185,0,185,0.09
13,Rajaiah C.,Independent,369,2,371,0.18
14,NOTA,None of the Above,1318,15,1333,0.66
