O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAVICHANDRAN T.,Indian National Congress,47727,455,48182,26.36
2,PERIYAPULLAN @ SELVAM P.,All India Anna Dravida Munnetra Kazhagam,83126,218,83344,45.6
3,KATHIRESAN K.,Makkal Needhi Maiam,2161,15,2176,1.19
4,KARUPPUSAMY P.,Naam Tamilar Katchi,10606,63,10669,5.84
5,SENTHILRAJ K.,My India Party,270,0,270,0.15
6,SELVARAJ A.,Amma Makkal Munnettra Kazagam,34027,235,34262,18.74
7,KANNAN P.,Independent,257,1,258,0.14
8,GOBALAKRISHNAN M.,Independent,350,0,350,0.19
9,SIVASAMY R.,Independent,109,1,110,0.06
10,DHARMAR P.,Independent,95,0,95,0.05
11,DHINAKARAN S.,Independent,274,0,274,0.15
12,NAGENDRAN N.,Independent,199,1,200,0.11
13,PANDI K.,Independent,736,0,736,0.4
14,BALAN T.,Independent,630,0,630,0.34
15,MOHANRAM C.,Independent,342,0,342,0.19
16,NOTA,None of the Above,875,9,884,0.48
