O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANNAMALAI. K,Bharatiya Janata Party,67915,638,68553,38.71
2,ELANGO. R,Dravida Munnetra Kazhagam,92215,1154,93369,52.72
3,SUNDARARAJ. R,Bahujan Samaj Party,328,0,328,0.19
4,ANITHA PARVEEN. M,Naam Tamilar Katchi,7156,32,7188,4.06
5,THANGAVEL. P. S. N,Amma Makkal Munnettra Kazagam,1593,6,1599,0.9
6,MOHAMMED HANEEF SHAHIL. K. S,Makkal Needhi Maiam,1375,7,1382,0.78
7,MOHANRAJ. C,Samaniya Makkal Nala Katchi,21,1,22,0.01
8,RAJKUMAR. R,Tamil Nadu Ilangyar Katchi,375,2,377,0.21
9,ARIVALAGAN. T,Independent,53,0,53,0.03
10,ARUMUGAM. R,Independent,29,0,29,0.02
11,KARTHIKEYAN. R,Independent,63,0,63,0.04
12,KARTHIK. D,Independent,45,0,45,0.03
13,KIRUBANANTH. S,Independent,41,0,41,0.02
14,SAKUNTHALA. N,Independent,79,0,79,0.04
15,SATHEESHKUMAR. T,Independent,336,0,336,0.19
16,SARAVANAN. P,Independent,1236,0,1236,0.7
17,CHITHAMBARAM. A,Independent,240,0,240,0.14
18,SILAMBARASAN. P,Independent,129,0,129,0.07
19,SIVAKUMAR. A,Independent,28,0,28,0.02
20,SURESH. M,Independent,19,0,19,0.01
21,SURESHBABU. S,Independent,24,0,24,0.01
22,SELVAKUMAR. R,Independent,19,0,19,0.01
23,THANEGASALAM. R. V,Independent,20,1,21,0.01
24,BASKARAN. N,Independent,24,1,25,0.01
25,PITCHAIMUTHU. T,Independent,24,0,24,0.01
26,PRAKASH. P,Independent,16,0,16,0.01
27,PRABAKARAN. T,Independent,20,1,21,0.01
28,PRABHU. G,Independent,16,0,16,0.01
29,BOOPATHY. S,Independent,27,0,27,0.02
30,PERIYASAMY. M. R,Independent,40,0,40,0.02
31,MAHESHMANI. T,Independent,104,0,104,0.06
32,MATHIYALAGAN. P,Independent,161,0,161,0.09
33,MANOJPANDIYAN. J. M,Independent,290,0,290,0.16
34,MURUGESAN. M. S,Independent,174,0,174,0.1
35,RAGUNATH. P,Independent,23,0,23,0.01
36,RANJITH. I,Independent,21,0,21,0.01
37,RAMAGURU. R,Independent,19,1,20,0.01
38,RAJENDIRAN. M,Independent,44,0,44,0.02
39,VIVEKANANTHAN. V,Independent,13,0,13,0.01
40,VAIRASEEMAN. G,Independent,46,0,46,0.03
41,NOTA,None of the Above,866,3,869,0.49
