O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,A.SOUNDARAPANDIAN,Dravida Munnetra Kazhagam,83264,1650,84914,48.59
2,D.R.DHARMARAJ,All India Anna Dravida Munnetra Kazhagam,67612,353,67965,38.89
3,K.KAMARAJ,Samaniya Makkal Nala Katchi,268,2,270,0.15
4,R.SILAMBARASAN,Anna MGR Dravida Makkal Kalgam,138,0,138,0.08
5,P.NAMBIRAJAN,Puthiya Tamilagam,123,1,124,0.07
6,I.MALAR TAMIL PRABHA,Naam Tamilar Katchi,16134,114,16248,9.3
7,VEERAN.MUTHUKUMAR,Shiv Sena,64,1,65,0.04
8,M.VIJAYAMURTHY,Amma Makkal Munnettra Kazagam,2913,28,2941,1.68
9,K.ANANTHABABU,Independent,56,1,57,0.03
10,A.ANANDHKUMAR,Independent,92,4,96,0.05
11,P.M.SAHADEVAN,Independent,65,0,65,0.04
12,ANBIL K.THANGAMANI,Independent,246,1,247,0.14
13,K.DHARMARAJ,Independent,120,0,120,0.07
14,U.JOHNSON,Independent,303,1,304,0.17
15,NOTA,None of the Above,1191,9,1200,0.69
