O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,T. Ilanchezhian,Bahujan Samaj Party,496,4,500,0.24
2,S.Pavunraj,All India Anna Dravida Munnetra Kazhagam,92299,504,92803,44.65
3,Nivedha M. Murugan,Dravida Munnetra Kazhagam,95161,941,96102,46.24
4,P. Kaliyammal,Naam Tamilar Katchi,14783,40,14823,7.13
5,S.Senthamizhan,Amma Makkal Munnettra Kazagam,1212,8,1220,0.59
6,M.H.Meharajdeen,Makkal Needhi Maiam,946,4,950,0.46
7,A. Kalaivanan,Independent,102,0,102,0.05
8,S.Pandiyarajan,Independent,343,0,343,0.17
9,S.Murugan,Independent,261,1,262,0.13
10,NOTA,None of the Above,727,6,733,0.35
