O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,HARI.R.,Bahujan Samaj Party,580,5,585,0.28
2,ANBALAGAN.K.P.,All India Anna Dravida Munnetra Kazhagam,109105,965,110070,53.28
3,MURUGAN.P.K.,Dravida Munnetra Kazhagam,81035,935,81970,39.68
4,VIJAYASANKAR.P.,Desiya Murpokku Dravida Kazhagam,2394,15,2409,1.17
5,KALAISELVI.G.,Naam Tamilar Katchi,7647,57,7704,3.73
6,RAJASEKAR.D.,Makkal Needhi Maiam,1168,8,1176,0.57
7,ANBARASU.D.,Independent,79,1,80,0.04
8,SHARAVANAN.M.P.,Independent,90,0,90,0.04
9,MURUGAN.K.,Independent,115,5,120,0.06
10,MURUGAN.K.G.,Independent,169,0,169,0.08
11,RAJKUMAR.T.,Independent,406,0,406,0.2
12,VADIVEL.M.,Independent,464,1,465,0.23
13,NOTA,None of the Above,1348,3,1351,0.65
