O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,S.S.ANBALAGAN,Dravida Munnetra Kazhagam,98386,1447,99833,45.09
2,K.ANBU,Bahujan Samaj Party,330,2,332,0.15
3,G.BASKARAN,Desiya Murpokku Dravida Kazhagam,1852,9,1861,0.84
4,S.RAMACHANDRAN,All India Anna Dravida Munnetra Kazhagam,102225,736,102961,46.5
5,S.THANIGAIVEL,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,506,3,509,0.23
6,D.PRAKALATHA,Naam Tamilar Katchi,10373,118,10491,4.74
7,V.MANIGANDAN,Makkal Needhi Maiam,2196,17,2213,1.0
8,A.ARUNKUMAR,Independent,217,5,222,0.1
9,K.ANBALAGAN,Independent,56,19,75,0.03
10,M.ANBALAGAN,Independent,78,2,80,0.04
11,N.KARTHIKEYAN,Independent,395,2,397,0.18
12,S.SAKTHIVEL,Independent,165,13,178,0.08
13,R.DHAKSHANAMOORTHY,Independent,313,0,313,0.14
14,S.MURALI,Independent,133,0,133,0.06
15,S.RAMACHANDRAN,Independent,133,1,134,0.06
16,NOTA,None of the Above,1666,24,1690,0.76
