O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SAMBATHKUMAR. T,Dravida Munnetra Kazhagam,68082,1270,69352,28.04
2,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,160931,2223,163154,65.97
3,JAMUNA. A,Bahujan Samaj Party,813,2,815,0.33
4,SOCIAL WORKER ESWARI. P,Ambedkarite Party of India,132,3,135,0.05
5,GUNASEKARAN. K.N,My India Party,117,1,118,0.05
6,SURIYAMOORTHY. S,MGR Makkal Katchi,64,0,64,0.03
7,THASAPPARAJ. D,Makkal Needhi Maiam,1532,15,1547,0.63
8,POOKADAI SEKAR. N,Amma Makkal Munnettra Kazagam,764,10,774,0.31
9,MANI. C,Dhesiya Makkal Kazhagam,46,1,47,0.02
10,MANIKANDAN. R,Tamil Nadu Ilangyar Katchi,147,6,153,0.06
11,SHRI RATHNA,Naam Tamilar Katchi,6574,52,6626,2.68
12,AGNI SRI RAMACHANDRAN. N,Independent,259,2,261,0.11
13,ESWARAMURTHY. N,Independent,89,0,89,0.04
14,ESWARAMOORTHY P,Independent,165,1,166,0.07
15,IYYAPPAN. P,Independent,483,0,483,0.2
16,KATHIRAVAN. V,Independent,555,0,555,0.22
17,KATHIRESAN. L,Independent,407,0,407,0.16
18,GUHESHKUMAR. M,Independent,474,0,474,0.19
19,SHANMUGAM. G,Independent,66,0,66,0.03
20,SOWNTHARARAJAN. G,Independent,44,0,44,0.02
21,DR. PADMARAJAN. K,Independent,35,1,36,0.01
22,PALANISAMY. A,Independent,26,0,26,0.01
23,BALASUBRAMANIAM. J,Independent,60,1,61,0.02
24,BALAMURUGAN. M,Independent,39,0,39,0.02
25,MURUGAN. M,Independent,90,1,91,0.04
26,LAKSHMI. G,Independent,199,0,199,0.08
27,LOGANATHAN. S,Independent,208,0,208,0.08
28,STALIN. A,Independent,202,0,202,0.08
29,NOTA,None of the Above,1091,18,1109,0.45
