O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SENGOTTAIYAN K.A,All India Anna Dravida Munnetra Kazhagam,107571,1037,108608,50.68
2,PALANISAMY P,Bahujan Samaj Party,1027,7,1034,0.48
3,MANIMARAN G.V,Dravida Munnetra Kazhagam,78488,1557,80045,37.36
4,SAKTHIVEL G,India Dravida Makkal Munnetra Katchi,412,3,415,0.19
5,SEETHALAKSHMI M.K,Naam Tamilar Katchi,11661,58,11719,5.47
6,THULASIMANI N.K,Amma Makkal Munnettra Kazagam,2653,29,2682,1.25
7,PRAKASH N.K,Makkal Needhi Maiam,4258,33,4291,2.0
8,KUMAR D,Independent,128,2,130,0.06
9,SANKARKUMAR K.A,Independent,157,0,157,0.07
10,SELVAKKUMAR S,Independent,77,0,77,0.04
11,DHANABAL K,Independent,310,1,311,0.15
12,DEVARAJ N,Independent,305,2,307,0.14
13,PALANISAMYRAAJ M,Independent,426,4,430,0.2
14,BOOPATHIRAJA A.N,Independent,418,0,418,0.2
15,MUTHUMANI P,Independent,296,0,296,0.14
16,MOHANRAJ K,Independent,789,0,789,0.37
17,RAKKIMUTHU RANGANADAR R,Independent,611,0,611,0.29
18,JUNAYATH M,Independent,178,0,178,0.08
19,SRIDEVI R,Independent,473,3,476,0.22
20,NOTA,None of the Above,1295,12,1307,0.61
