O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARJUNAN P,All India Anna Dravida Munnetra Kazhagam,86155,997,87152,47.74
2,GOVINDASAMY A,Bahujan Samaj Party,599,4,603,0.33
3,CHANDRALEKHA K,Desiya Murpokku Dravida Kazhagam,2678,23,2701,1.48
4,SEETHAPATHY P,Dravida Munnetra Kazhagam,76038,1361,77399,42.4
5,ILAVARASAN K,Anna Dravidar Kazhagam,424,0,424,0.23
6,SETTU M,Desiya Sirupanmayinar Makkal Iyakkam,247,0,247,0.14
7,PACHIMUTHU P,Naam Tamilar Katchi,9162,41,9203,5.04
8,POYATHU @ ANBIN POYYAMOZHI S,Makkal Needhi Maiam,2068,11,2079,1.14
9,MOHAN A,MAKKAL SAKTHI KATCHI,108,4,112,0.06
10,VISWANATHAN S A,All India Pattali Munnetra Katchi,148,0,148,0.08
11,ARULMARAN J,Independent,120,2,122,0.07
12,GOKULAKRISHNAN M,Independent,132,9,141,0.08
13,THAMBIRAJ A,Independent,378,1,379,0.21
14,VINOTH S,Independent,110,0,110,0.06
15,VETRIVENDHAN S,Independent,195,0,195,0.11
16,NOTA,None of the Above,1514,9,1523,0.83
