O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Sankar N M,Desiya Murpokku Dravida Kazhagam,1895,16,1911,0.64
2,CHARLES S,Bahujan Samaj Party,763,10,773,0.26
3,Nasar S M,Dravida Munnetra Kazhagam,148845,1442,150287,49.94
4,Pandiarajan K,All India Anna Dravida Munnetra Kazhagam,94331,681,95012,31.57
5,Udhayakumar V,Makkal Needhi Maiam,16982,110,17092,5.68
6,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1251,12,1263,0.42
7,Banumathi,My India Party,126,1,127,0.04
8,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,0,120,0.04
9,VIJAYALAKSHMI G,Naam Tamilar Katchi,29953,134,30087,10.0
10,Viswanathan R,MGR Makkal Katchi,108,0,108,0.04
11,Akilan T.M.,Independent,72,0,72,0.02
12,Chandrasekar.A,Independent,105,0,105,0.03
13,Sugumar M,Independent,143,0,143,0.05
14,Dharani K,Independent,184,3,187,0.06
15,Durgaprasad G,Independent,73,2,75,0.02
16,Nagaraj M,Independent,198,0,198,0.07
17,Pandiarajan G,Independent,359,1,360,0.12
18,Venkatesan M,Independent,95,0,95,0.03
19,Jayakumar P,Independent,299,1,300,0.1
20,Shanavas Khan J,Independent,231,0,231,0.08
21,NOTA,None of the Above,2361,20,2381,0.79
