O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,C.V.M.P. Ezhailzrasan,Dravida Munnetra Kazhagam,100914,1798,102712,44.77
2,K. Prabakaran,Bahujan Samaj Party,1185,8,1193,0.52
3,B. GOPINATH,Makkal Needhi Maiam,11936,92,12028,5.24
4,S. SALDIN,Naam Tamilar Katchi,13829,117,13946,6.08
5,P. Magesh Kumar,Pattali Makkal Katchi,90390,727,91117,39.71
6,N. MANOGARAN,Amma Makkal Munnettra Kazagam,2283,18,2301,1.0
7,M. MEGANATHAN,New Generation People’s Party,241,7,248,0.11
8,L. ARULNATHAN,Independent,2024,26,2050,0.89
9,M.ELANGOVAN,Independent,94,17,111,0.05
10,P. EZHILARASAN,Independent,126,1,127,0.06
11,S. SRINIVASAN,Independent,162,0,162,0.07
12,D.GNANAMOORTHY,Independent,412,3,415,0.18
13,T. MAGESH,Independent,143,14,157,0.07
14,R. VINOTHRAJ,Independent,133,0,133,0.06
15,J. JAYARAJ,Independent,192,1,193,0.08
16,NOTA,None of the Above,2521,18,2539,1.11
