O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,J.L.Eswarappan,Dravida Munnetra Kazhagam,102667,1218,103885,49.52
2,A.C.Kesavan,Bahujan Samaj Party,771,11,782,0.37
3,Elavazagan.K.L,Pattali Makkal Katchi,83410,517,83927,40.01
4,R.Kathiravan,Naam Tamilar Katchi,11977,111,12088,5.76
5,H.Mohamed Ghouse,Tipu Sultan Party,392,5,397,0.19
6,A.R.Mohamed Raffi,Makkal Needhi Maiam,2846,14,2860,1.36
7,Munivel.S,National Democratic Party of South India,180,4,184,0.09
8,N.Janarthanan,Amma Makkal Munnettra Kazagam,2159,31,2190,1.04
9,P.Eswaran,Independent,155,0,155,0.07
10,T.D.Shanmugam,Independent,231,0,231,0.11
11,K.Manigandan,Independent,453,4,457,0.22
12,Vasanthakumar,Independent,380,2,382,0.18
13,NOTA,None of the Above,2238,15,2253,1.07
