O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SAKKARAPANI R,Dravida Munnetra Kazhagam,108990,980,109970,54.51
2,SIVA KUMAR M,Desiya Murpokku Dravida Kazhagam,1417,10,1427,0.71
3,NATARAJ N.P,All India Anna Dravida Munnetra Kazhagam,80819,409,81228,40.26
4,MURUGARAJ P,Bahujan Samaj Party,527,2,529,0.26
5,ABDUL HADI A,Makkal Needhi Maiam,1069,13,1082,0.54
6,SAKTHI DEVI T,Naam Tamilar Katchi,4892,52,4944,2.45
7,RAVI M,Anaithu Makkal Puratchi Katchi,61,0,61,0.03
8,RAVICHANDRAN K,My India Party,52,0,52,0.03
9,SHANMUGAVEL P,Independent,40,0,40,0.02
10,SIVAPRAKASH S,Independent,44,0,44,0.02
11,SIVANESAN K,Independent,59,0,59,0.03
12,CHELLAMUTHU K,Independent,100,0,100,0.05
13,BALASUBRAMANI S,Independent,356,0,356,0.18
14,MARIMUTHU T.S,Independent,406,1,407,0.2
15,NOTA,None of the Above,1451,6,1457,0.72
