O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AYYAVU.N,Bahujan Samaj Party,421,0,421,0.21
2,SAMINATHAN.M.P,Dravida Munnetra Kazhagam,93178,1019,94197,47.14
3,RAMALINGAM.A.S,All India Anna Dravida Munnetra Kazhagam,86477,389,86866,43.47
4,SIVANANTHAM.K,Naam Tamilar Katchi,11248,59,11307,5.66
5,MANOHARAN.S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,134,0,134,0.07
6,RAMESH.C,Amma Makkal Munnettra Kazagam,474,0,474,0.24
7,APPASAMY.R,Independent,2317,10,2327,1.16
8,IMMANUVEL.R,Independent,434,1,435,0.22
9,GOPINATH.P,Independent,247,0,247,0.12
10,SATHISH KUMAR.P,Independent,60,2,62,0.03
11,SATHYAMOORTHI.S,Independent,106,1,107,0.05
12,SUKUMARAN.N,Independent,59,0,59,0.03
13,SUBRAMANIAN.D,Independent,123,1,124,0.06
14,SELVAKUMAR.K,Independent,225,0,225,0.11
15,NALLAMUTHU.P,Independent,276,0,276,0.14
16,NITHIYANDHAN.C,Independent,285,0,285,0.14
17,PRABHAKARAN.G,Independent,113,0,113,0.06
18,MANI.A,Independent,273,0,273,0.14
19,MANIKANDAN.R,Independent,330,0,330,0.17
20,RAVIKUMAR.R,Independent,98,2,100,0.05
21,RAMALINGAM.N,Independent,38,0,38,0.02
22,RAJENDRAN.B,Independent,94,1,95,0.05
23,RAJENDRAN.P,Independent,40,0,40,0.02
24,VADUGANATHAN.K.K.,Independent,83,0,83,0.04
25,JAHANGEER.K.O.,Independent,88,1,89,0.04
26,JOTHI KALIMUTHU.G,Independent,84,0,84,0.04
27,NOTA,None of the Above,1020,7,1027,0.51
