O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"Nehru, K.N.",Dravida Munnetra Kazhagam,116018,2115,118133,64.52
2,"Padmanathan, V.",All India Anna Dravida Munnetra Kazhagam,32632,392,33024,18.04
3,"Abubacker Siddiq, M.",Makkal Needhi Maiam,10466,80,10546,5.76
4,"Abdullah Hassan Faizy, R.",SOCIAL DEMOCRATIC PARTY OF INDIA,2525,20,2545,1.39
5,"Vinodh, V.",Naam Tamilar Katchi,15637,88,15725,8.59
6,"Kalpana, T.",Independent,193,3,196,0.11
7,"Sahabudheen, A.J.",Independent,41,2,43,0.02
8,"Sudha, R.",Independent,216,6,222,0.12
9,"Sundar Rajulu, G.",Independent,40,2,42,0.02
10,"Selvaraj, D.",Independent,48,0,48,0.03
11,"Dheepan, M.",Independent,65,1,66,0.04
12,"Vasudevan, A.",Independent,211,0,211,0.12
13,"Shajahan, R.",Independent,181,0,181,0.1
14,NOTA,None of the Above,2079,38,2117,1.16
