O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ASWIN,Bahujan Samaj Party,530,0,530,0.25
2,DURAI.CHANDRASEKARAN,Dravida Munnetra Kazhagam,101959,1251,103210,48.82
3,"VENKATESAN, S.",Bharatiya Janata Party,49284,276,49560,23.44
4,"UTHIRAPATHI, G.",Puthiya Tamilagam,1197,18,1215,0.57
5,"KARTHIKEYAN, V.",Amma Makkal Munnettra Kazagam,37310,159,37469,17.72
6,"SIVARAMAN, T.","Makkal Sananayaga Kudiyarasu Katchi,",236,0,236,0.11
7,"SENTHILNATHAN, D.",Naam Tamilar Katchi,15727,93,15820,7.48
8,"BACKIYARAJ, V.",Anaithu Makkal Arasiyal Katchi,252,0,252,0.12
9,"VIJAYAKUMAR, S.",Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,255,2,257,0.12
10,"SINGARAVADIVEL, S.",Independent,238,2,240,0.11
11,"THIRUMARAN, P.S.",Independent,1089,4,1093,0.52
12,"RAJKUMAR, R.",Independent,367,1,368,0.17
13,NOTA,None of the Above,1173,7,1180,0.56
