O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SARAVANAN P,Bharatiya Janata Party,49700,394,50094,32.0
2,THALAPATHI G,Dravida Munnetra Kazhagam,71949,1061,73010,46.64
3,ALAGAR M,Makkal Needhi Maiam,12019,83,12102,7.73
4,ANBARASI S,Naam Tamilar Katchi,15178,133,15311,9.78
5,VASANTHAKUMAR S,Anna Dravidar Kazhagam,167,0,167,0.11
6,VOLTAIRE M J,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),114,1,115,0.07
7,JEYAPAL M,Amma Makkal Munnettra Kazagam,3235,45,3280,2.1
8,ABUBAKKAR SITHICK J,Independent,138,1,139,0.09
9,RAAM VISHWAKARMA T,Independent,93,1,94,0.06
10,ISMAIL D,Independent,105,0,105,0.07
11,KUPPUSAMY N,Independent,49,0,49,0.03
12,KESAVARAJAH J,Independent,69,1,70,0.04
13,SANKARAPANDI P,Independent,161,2,163,0.1
14,THEIVAMMAL K,Independent,124,1,125,0.08
15,NATARAJAN R,Independent,167,1,168,0.11
16,NOTA,None of the Above,1548,16,1564,1.0
