O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"Mano Thangaraj, T.",Dravida Munnetra Kazhagam,86193,1551,87744,51.57
2,"Latha, P.",Bahujan Samaj Party,1253,19,1272,0.75
3,"John Thankam, D.",All India Anna Dravida Munnetra Kazhagam,60100,759,60859,35.77
4,Seelan,Naam Tamilar Katchi,13709,190,13899,8.17
5,"Jenkins, D.",Amma Makkal Munnettra Kazagam,3192,42,3234,1.9
6,"Jeyaraj, M.",Makkal Needhi Maiam,962,19,981,0.58
7,"Anchalose, Y.",Independent,55,0,55,0.03
8,"Glory Selvi, T.",Independent,262,9,271,0.16
9,"SyedAli, A.",Independent,321,3,324,0.19
10,"Nagarajan, M.",Independent,128,1,129,0.08
11,"Mathan, F.",Independent,173,4,177,0.1
12,"Robert Singh, I.",Independent,175,0,175,0.1
13,NOTA,None of the Above,1023,13,1036,0.61
