O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,M.Appavu,Dravida Munnetra Kazhagam,80241,2090,82331,43.95
2,E.Esakkiammal,Bahujan Samaj Party,460,4,464,0.25
3,I.S.Inbadurai,All India Anna Dravida Munnetra Kazhagam,75749,657,76406,40.79
4,K.Jeyabalan,Desiya Murpokku Dravida Kazhagam,2409,23,2432,1.3
5,N.Godfrey Washington Noble,Aanaithinthiya Jananayaka Pathukappu Kazhagam,235,0,235,0.13
6,M.Chandran,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,291,4,295,0.16
7,J.Jesu Rajendran,Naam Indiar Party,328,1,329,0.18
8,R.Jesu Dhasan,Naam Tamilar Katchi,19271,100,19371,10.34
9,M.Antony Rossary,Independent,98,0,98,0.05
10,S.Abinanth Ram,Independent,68,1,69,0.04
11,D.Arunraj,Independent,139,0,139,0.07
12,S.Katteri Perumal,Independent,59,0,59,0.03
13,N.Kannan,Independent,191,2,193,0.1
14,A.Kumar,Independent,309,9,318,0.17
15,M.Saswathan,Independent,116,1,117,0.06
16,R.Sudalaimani,Independent,466,4,470,0.25
17,K.Subburaj,Independent,518,0,518,0.28
18,D.Sheik Syed Ali,Independent,95,0,95,0.05
19,T.Sermadurai,Independent,455,1,456,0.24
20,G.Deva Peran,Independent,1221,3,1224,0.65
21,S.Manikandan,Independent,52,0,52,0.03
22,T.Muthu Selvi,Independent,308,2,310,0.17
23,T.Rethina Pandi,Independent,59,0,59,0.03
24,M.Vijayakumar,Independent,143,0,143,0.08
25,T.Venus Veera Arasu,Independent,222,2,224,0.12
26,NOTA,None of the Above,894,9,903,0.48
