O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,K.KUPPAN,All India Anna Dravida Munnetra Kazhagam,50435,89,50524,25.26
2,M.KOTTESWARAN,Bahujan Samaj Party,367,0,367,0.18
3,K.P.SHANKAR,Dravida Munnetra Kazhagam,87703,482,88185,44.09
4,R.EGAVALLI,Naadaalum Makkal Katchi,253,0,253,0.13
5,D.SASIRAJ,Samata Party,291,0,291,0.15
6,SEEMAN,Naam Tamilar Katchi,48497,100,48597,24.3
7,M.SOUNDARA PANDIAN,Amma Makkal Munnettra Kazagam,1413,4,1417,0.71
8,D.MOHAN,Makkal Needhi Maiam,7025,28,7053,3.53
9,K.GOPINATH,Independent,96,0,96,0.05
10,V.SURESHBALAJI,Independent,29,0,29,0.01
11,M.CHELLAM,Independent,184,0,184,0.09
12,D.THAMIZHIZHAN,Independent,103,0,103,0.05
13,B.DHANASEKARAN,Independent,88,0,88,0.04
14,C.DHANRAJ,Independent,115,0,115,0.06
15,PRAVINA,Independent,52,0,52,0.03
16,M.A.MICHAEL RAJ,Independent,601,2,603,0.3
17,N.RAMESH KUMAR,Independent,584,1,585,0.29
18,N.RAJESH KUMAR,Independent,48,0,48,0.02
19,U.VENKATESH,Independent,224,0,224,0.11
20,B.ZAKIR HUSSAIN,Independent,71,0,71,0.04
21,NOTA,None of the Above,1106,5,1111,0.56
