O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PANNEERSELVAM,Dravida Munnetra Kazhagam,92866,1191,94057,49.16
2,P.V.BHARATHI,All India Anna Dravida Munnetra Kazhagam,81235,674,81909,42.81
3,SRITHAR,Bahujan Samaj Party,490,5,495,0.26
4,Kamban,Anaithu Makkal Arasiyal Katchi,76,3,79,0.04
5,Kavitha,Naam Tamilar Katchi,10966,47,11013,5.76
6,BALU,Amma Makkal Munnettra Kazagam,1301,7,1308,0.68
7,PRABU,Makkal Needhi Maiam,990,10,1000,0.52
8,ANUSUYA,Independent,76,1,77,0.04
9,Silambarasan,Independent,121,1,122,0.06
10,BARATHI,Independent,287,1,288,0.15
11,NOTA,None of the Above,974,3,977,0.51
