O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,EZHILAN N,Dravida Munnetra Kazhagam,71437,430,71867,52.87
2,KUSHBOO SUNDAR,Bharatiya Janata Party,39237,168,39405,28.99
3,WILLIAMS D,Bahujan Samaj Party,245,1,246,0.18
4,K M SHARIFF,Makkal Needhi Maiam,11769,22,11791,8.67
5,DOMNIC A,Nam India Naam Indiyar Katchi,72,0,72,0.05
6,RIAZ(A) SYED ZAKEERULLA,Anaithu Makkal Arasiyal Katchi,52,0,52,0.04
7,VAIDHYANATHAN N,Amma Makkal Munnettra Kazagam,1145,10,1155,0.85
8,SHERINE AJ,Naam Tamilar Katchi,8860,24,8884,6.54
9,SANJEEVI S,Independent,66,0,66,0.05
10,SUDAKAR R,Independent,63,3,66,0.05
11,SEKAR K,Independent,30,1,31,0.02
12,DEEBAN M,Independent,37,0,37,0.03
13,NIRMAL KUMAR S,Independent,53,0,53,0.04
14,P PARIMALA,Independent,47,0,47,0.03
15,BABU A,Independent,65,0,65,0.05
16,PARTHIBAN V,Independent,154,0,154,0.11
17,MANIVANNAN N,Independent,229,0,229,0.17
18,RADHA KRISHNAN S,Independent,230,1,231,0.17
19,VELRAJ S,Independent,41,1,42,0.03
20,A GEORGE BENNY,Independent,62,0,62,0.05
21,NOTA,None of the Above,1381,4,1385,1.02
