O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"RAAJENDRAN, V.G.",Dravida Munnetra Kazhagam,106316,1393,107709,50.27
2,"DOSS, D.",Bahujan Samaj Party,2314,15,2329,1.09
3,"RAMANAH, BE VEE",All India Anna Dravida Munnetra Kazhagam,84508,500,85008,39.68
4,"GURU, N.",Amma Makkal Munnettra Kazagam,1072,5,1077,0.5
5,"PASUPATHY, P.",Naam Tamilar Katchi,14943,85,15028,7.01
6,"KUMAR, E.",Independent,132,1,133,0.06
7,"SASIKUMAR, J.",Independent,87,0,87,0.04
8,"BALA KRISHNAN, N.",Independent,232,0,232,0.11
9,"RAMANAN, R.",Independent,97,0,97,0.05
10,"RAJENDIRAN, G.",Independent,385,3,388,0.18
11,"REVATHI, R.",Independent,281,2,283,0.13
12,NOTA,None of the Above,1857,15,1872,0.87
