O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SubashChandrabose,Bahujan Samaj Party,593,5,598,0.29
2,K.Pitchandi,Dravida Munnetra Kazhagam,102713,1962,104675,51.34
3,A.R.Elumalai,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,497,7,504,0.25
4,P.Kathikeyan,Amma Makkal Munnettra Kazagam,2172,19,2191,1.07
5,V.Suganantham,Makkal Needhi Maiam,1431,6,1437,0.7
6,K.Selvakumar,Pattali Makkal Katchi,76854,1034,77888,38.2
7,N.Thangaraj,Makkal Munnetra Peravai,313,4,317,0.16
8,Dr.R.Rameshbabu,Naam Tamilar Katchi,11464,77,11541,5.66
9,A.Venkatesan,Republican Party of India (Athawale),147,0,147,0.07
10,Farmer Jayaraman,Anaithu Makkal Arasiyal Katchi,236,3,239,0.12
11,M.Athiyaman,Independent,185,0,185,0.09
12,P.Ganeshraja,Independent,194,3,197,0.1
13,G.krishnamurthy,Independent,86,39,125,0.06
14,Sakthivel,Independent,407,1,408,0.2
15,S.Sasikumar,Independent,592,5,597,0.29
16,M.Sampathraj,Independent,415,2,417,0.2
17,M.Dinakaran,Independent,251,20,271,0.13
18,M.Murugan,Independent,835,9,844,0.41
19,M.Mohanraja,Independent,117,0,117,0.06
20,Lourdammal,Independent,75,0,75,0.04
21,C.Jothi,Independent,151,1,152,0.07
22,NOTA,None of the Above,954,7,961,0.47
