O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KALAIVANAN POONDI K.,Dravida Munnetra Kazhagam,107540,1366,108906,52.29
2,GOMATHI A.,Bahujan Samaj Party,716,4,720,0.35
3,PANNERSELVAM A.N.R.,All India Anna Dravida Munnetra Kazhagam,57439,293,57732,27.72
4,KABILARASAN P.,Makkal Needhi Maiam,4034,34,4068,1.95
5,THIYAGASUNDARAM N.,Tamil Nadu Ilangyar Katchi,1000,8,1008,0.48
6,THIYAGARAJAN M.,Puthiya Tamilagam,285,8,293,0.14
7,NASEEMA BANU M.A.,SOCIAL DEMOCRATIC PARTY OF INDIA,6348,16,6364,3.06
8,VINOTHINI R.,Naam Tamilar Katchi,26211,89,26300,12.63
9,AMANULLAH R.S.A.,Independent,163,0,163,0.08
10,ANBAZHAGAN T.,Independent,101,2,103,0.05
11,PANNEERSELVAM J.,Independent,530,1,531,0.25
12,MOHAMED HALITH A.,Independent,247,0,247,0.12
13,MUTHARASAN S.,Independent,200,2,202,0.1
14,NOTA,None of the Above,1646,7,1653,0.79
