O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,G.SENDHIL KUMAR,All India Anna Dravida Munnetra Kazhagam,87340,678,88018,46.33
2,D.Ramu,Bahujan Samaj Party,715,6,721,0.38
3,R.Sekar,All India Youth Development Party,176,3,179,0.09
4,M.GNANA DOSS,Makkal Needhi Maiam,1843,25,1868,0.98
5,A.J.DEVENDHIRAN,Naam Tamilar Katchi,11151,75,11226,5.91
6,N.MOHAMMED NAYEEM,Indian Union Muslim League,82317,797,83114,43.74
7,T.S.VAKEEL AHMED,All India Majlis-E-Ittehadul Muslimeen,1895,2,1897,1.0
8,B.JAGAN,Akhil Bharat Hindu Mahasabha,351,5,356,0.19
9,P.ABDUL WAHID,Independent,258,1,259,0.14
10,M.SURESH,Independent,362,0,362,0.19
11,SYED MOHAMMED SALEEM,Independent,131,2,133,0.07
12,DELHI RAJI.S,Independent,184,2,186,0.1
13,C.M.MOHAMMED HUSSAIN,Independent,186,0,186,0.1
14,NOTA,None of the Above,1487,5,1492,0.79
