O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SELVI RAMAJAYAM,All India Anna Dravida Munnetra Kazhagam,83478,451,83929,42.22
2,M.R.K.PANNEERSELVAM,Dravida Munnetra Kazhagam,100463,993,101456,51.04
3,T.VELAYUDHAM,Bahujan Samaj Party,480,2,482,0.24
4,K.CHANDRAMOULI,Janata Dal (Secular),1178,11,1189,0.6
5,S.SUMATHI,Naam Tamilar Katchi,8470,42,8512,4.28
6,R.MUTHUKRISHNAN,Anna Dravidar Kazhagam,140,0,140,0.07
7,A.VASANTHAKUMAR,Amma Makkal Munnettra Kazagam,834,3,837,0.42
8,R.SARATHKUMAR,Independent,154,0,154,0.08
9,BRIJITA ROSLENE,Independent,91,1,92,0.05
10,L.MADHIYAZHAGAN,Independent,139,0,139,0.07
11,N.MUTHAZHAGAN,Independent,124,0,124,0.06
12,R.RAJESH,Independent,515,0,515,0.26
13,NOTA,None of the Above,1208,4,1212,0.61
