O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"UMANATH, R.",Desiya Murpokku Dravida Kazhagam,4121,21,4142,2.46
2,"GANESAN, C.V.",Dravida Munnetra Kazhagam,82780,946,83726,49.78
3,"PERIYASAMY, D.",Bharatiya Janata Party,61851,312,62163,36.96
4,"RAVICHANDRAN, P.",Bahujan Samaj Party,558,1,559,0.33
5,"ARULDOSS, E.",Desiya Makkal Sakthi Katchi,219,2,221,0.13
6,"KAMATCHI, N.",Naam Tamilar Katchi,10555,36,10591,6.3
7,"PRABAKARAN, R.",Makkal Needhi Maiam,1730,15,1745,1.04
8,"AYYASAMY, S.",Independent,720,4,724,0.43
9,"KARUPPAN, M.",Independent,927,17,944,0.56
10,"KAMARAJ, K.",Independent,141,0,141,0.08
11,"KOLANJINATHAN, V.",Independent,129,1,130,0.08
12,"SEENUVASAN, C.",Independent,197,0,197,0.12
13,"SUMATHI, S.",Independent,237,1,238,0.14
14,"NATARAJAN, M.",Independent,1063,0,1063,0.63
15,"PALANIAMMAL, P.",Independent,601,0,601,0.36
16,NOTA,None of the Above,995,4,999,0.59
