O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anitha R. Radhakrishnan,Dravida Munnetra Kazhagam,86162,2112,88274,50.58
2,Radhakrishnan M,All India Anna Dravida Munnetra Kazhagam,62420,591,63011,36.1
3,Gloriyan S,Naam Tamilar Katchi,14963,100,15063,8.63
4,Kennady Babu K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,128,1,129,0.07
5,Rooswelt X,Naam Indiar Party,238,1,239,0.14
6,Vadamalaipandian S,Amma Makkal Munnettra Kazagam,3730,36,3766,2.16
7,Jayanthi M,Makkal Needhi Maiam,1949,16,1965,1.13
8,Arumugam S,Independent,107,1,108,0.06
9,Essakki Muthu,Independent,58,2,60,0.03
10,Kalyanasundaram R,Independent,90,2,92,0.05
11,Senthilkumar S,Independent,177,0,177,0.1
12,Shaik Abdul Kader P.S.J,Independent,136,0,136,0.08
13,Baskar C,Independent,195,1,196,0.11
14,Perumal K,Independent,73,0,73,0.04
15,Pon Rathna Selvan S,Independent,195,1,196,0.11
16,NOTA,None of the Above,1040,11,1051,0.6
