O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kumar.K.S,Desiya Murpokku Dravida Kazhagam,3153,29,3182,1.77
2,M. Selvarasu,All India Anna Dravida Munnetra Kazhagam,63179,609,63788,35.5
3,N. Thiyagarajan,Dravida Munnetra Kazhagam,88487,2137,90624,50.43
4,V. Bernardshaw,Bahujan Samaj Party,458,0,458,0.25
5,S. Gokul,Makkal Needhi Maiam,2467,32,2499,1.39
6,Gautham. S,Rashtriya Samaj Paksha,251,2,253,0.14
7,D. Dharmalingam,Samaniya Makkal Nala Katchi,109,1,110,0.06
8,Sridevi Ilangovan,Naam Tamilar Katchi,14207,104,14311,7.96
9,N. Aravan,Independent,108,0,108,0.06
10,R. Anandhan,Independent,103,1,104,0.06
11,Devanur Karthick,Independent,227,0,227,0.13
12,Shanmugam,Independent,361,2,363,0.2
13,"A.Chandran. M.Sc.,",Independent,174,1,175,0.1
14,N. Saminathan,Independent,313,4,317,0.18
15,N. Sivakumar,Independent,513,0,513,0.29
16,T. Senthil Kumar,Independent,497,0,497,0.28
17,V. Natarajan,Independent,164,0,164,0.09
18,T. Periyathambi,Independent,462,1,463,0.26
19,R. Michael,Independent,297,0,297,0.17
20,"P. Loganathan. M.sc.,",Independent,160,1,161,0.09
21,NOTA,None of the Above,1081,11,1092,0.61
