O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"RAMCHANDRAN, M.",Dravida Munnetra Kazhagam,60471,757,61228,31.92
2,"VAITHILINGAM, R.",All India Anna Dravida Munnetra Kazhagam,89516,547,90063,46.95
3,"STALIN, R.",Bahujan Samaj Party,550,0,550,0.29
4,"KANDHASAMY, M.",Naam Tamilar Katchi,9013,37,9050,4.72
5,"SEKAR, M.",Amma Makkal Munnettra Kazagam,25854,168,26022,13.56
6,"THANRAJ, R.",United States of India Party,229,0,229,0.12
7,"PRABAKARAN, U.",Anaithu Makkal Puratchi Katchi,99,0,99,0.05
8,"RENGASAMY, G.",Makkal Needhi Maiam,709,12,721,0.38
9,"ARUNKUMAR, K.",Independent,220,3,223,0.12
10,"MOOKKAIYAN, V.",Independent,2031,10,2041,1.06
11,"RENGARAJ, S.",Independent,317,2,319,0.17
12,"JAYASOORIYAN, T.",Independent,428,0,428,0.22
13,NOTA,None of the Above,861,6,867,0.45
